policy_id,row_key,source_bundle_key,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value,atom_id,parent_row_id,is_atomized_row,is_decomposed,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Colorado_Springs_CO_United_States::42c6e6a8c371cd39f59c6126,Colorado_Springs_CO_United_States::42c6e6a8c371cd39f59c6126,sub,"Ensure adequate and sustainable funding for parks, recreation, urban forest, and open space assets.","Establish coordinated, dedicated, permanent, and sustainable funding sources for parks/forestry/trails/streetscapes/open space acquisition, development, and ongoing maintenance.",Adaptation,,policy_traces/001_Establish_coordinated_dedicated_permanent_and_sustainable_fu.json,trace_initiative_policies_valid.csv,parent_statement,"Ensure adequate and sustainable funding for parks, recreation, urban forest, and open space assets.",,,False,False,,,,,,
002,Colorado_Springs_CO_United_States::0ede459e53724ad4740c18e2,Colorado_Springs_CO_United_States::0ede459e53724ad4740c18e2,sub,"Ensure adequate and sustainable funding for parks, recreation, urban forest, and open space assets.",Consider increasing the TOPS (Trails Open Space and Parks) sales tax above the current 0.10 percent.,Adaptation,,policy_traces/002_Consider_increasing_the_TOPS_Trails_Open_Space_and_Parks_sal.json,trace_initiative_policies_valid.csv,parent_statement,"Ensure adequate and sustainable funding for parks, recreation, urban forest, and open space assets.",,,False,False,,,,,,
003,Colorado_Springs_CO_United_States::6430e923f3e5d8e587cc34b3,Colorado_Springs_CO_United_States::6430e923f3e5d8e587cc34b3,sub,"Ensure adequate and sustainable funding for parks, recreation, urban forest, and open space assets.","Use partnerships, grants, private donations, and businesses to leverage revenue sources and fund priority parks, streetscape, open space, recreation, and trail projects.",Adaptation,,policy_traces/003_Use_partnerships_grants_private_donations_and_businesses_to_.json,trace_initiative_policies_valid.csv,parent_statement,"Ensure adequate and sustainable funding for parks, recreation, urban forest, and open space assets.",,,False,False,,,,,,
004,Colorado_Springs_CO_United_States::03a4c324ab3d91e37e1a623a,Colorado_Springs_CO_United_States::03a4c324ab3d91e37e1a623a,sub,"Ensure adequate and sustainable funding for parks, recreation, urban forest, and open space assets.",Evaluate and implement fee-based and other revenue options for City parks and recreation facilities while retaining equitable access.,Adaptation,,policy_traces/004_Evaluate_and_implement_fee_based_and_other_revenue_options_f.json,trace_initiative_policies_valid.csv,parent_statement,"Ensure adequate and sustainable funding for parks, recreation, urban forest, and open space assets.",,,False,False,,,,,,
006,Colorado_Springs_CO_United_States::9275f4a86821643cfb91c7ec,Colorado_Springs_CO_United_States::9275f4a86821643cfb91c7ec,sub,Develop an inclusive and safe non-motorized system connecting the city and serving varied trail user needs.,"Establish, design, and implement connected trail/open space/park facilities within a maximum 10-minute walk or ½ mile from most homes and businesses.",Adaptation,,policy_traces/006_Establish_design_and_implement_connected_trailopen_spacepark.json,trace_initiative_policies_valid.csv,parent_statement,Develop an inclusive and safe non-motorized system connecting the city and serving varied trail user needs.,,,False,False,,,,,,
007,Colorado_Springs_CO_United_States::c2283ca946906af5b18e8605,Colorado_Springs_CO_United_States::c2283ca946906af5b18e8605,sub,Develop an inclusive and safe non-motorized system connecting the city and serving varied trail user needs.,Encourage installation and maintenance of trails with wayfinding to support pedestrian and bicycle connectivity to parks/open spaces and trail networks.,Mitigation,,policy_traces/007_Encourage_installation_and_maintenance_of_trails_with_wayfin.json,trace_initiative_policies_valid.csv,parent_statement,Develop an inclusive and safe non-motorized system connecting the city and serving varied trail user needs.,,,False,False,,,,,,
008,Colorado_Springs_CO_United_States::f293a8cd97993310df607ef7,Colorado_Springs_CO_United_States::f293a8cd97993310df607ef7,sub,Develop an inclusive and safe non-motorized system connecting the city and serving varied trail user needs.,Continue to meet ADA requirements through Universal Design approaches in trail design when feasible.,Adaptation,,policy_traces/008_Continue_to_meet_ADA_requirements_through_Universal_Design_a.json,trace_initiative_policies_valid.csv,parent_statement,Develop an inclusive and safe non-motorized system connecting the city and serving varied trail user needs.,,,False,False,,,,,,
009,Colorado_Springs_CO_United_States::2e64c03f676f8655fa29b975,Colorado_Springs_CO_United_States::2e64c03f676f8655fa29b975,sub,Develop an inclusive and safe non-motorized system connecting the city and serving varied trail user needs.,"Design, construct, and increase maintenance of trails to facilitate safe recreational and commuter use.",Mitigation,,policy_traces/009_Design_construct_and_increase_maintenance_of_trails_to_facil.json,trace_initiative_policies_valid.csv,parent_statement,Develop an inclusive and safe non-motorized system connecting the city and serving varied trail user needs.,,,False,False,,,,,,
010,Colorado_Springs_CO_United_States::430b9f2e3fe185e95b627847,Colorado_Springs_CO_United_States::430b9f2e3fe185e95b627847,sub,Develop an inclusive and safe non-motorized system connecting the city and serving varied trail user needs.,Ensure seamless connectivity within the trail system and between on- and off-street trails.,Mitigation,,policy_traces/010_Ensure_seamless_connectivity_within_the_trail_system_and_bet.json,trace_initiative_policies_valid.csv,parent_statement,Develop an inclusive and safe non-motorized system connecting the city and serving varied trail user needs.,,,False,False,,,,,,
011,Colorado_Springs_CO_United_States::58b6d1e52daed9f8fe748483,Colorado_Springs_CO_United_States::58b6d1e52daed9f8fe748483,sub,Develop an inclusive and safe non-motorized system connecting the city and serving varied trail user needs.,Close physical gaps and address challenging crossings within the existing and planned Tier 1 and Tier 2 trail system.,Mitigation,,policy_traces/011_Close_physical_gaps_and_address_challenging_crossings_within.json,trace_initiative_policies_valid.csv,parent_statement,Develop an inclusive and safe non-motorized system connecting the city and serving varied trail user needs.,,,False,False,,,,,,
