cluster_id,cluster_type,role,sector,section_header,policy_statement,parent_statement,parent_row_type,verbatim_text,extraction_rationale
0,parent_with_subs,parent,Transport,TRANSPORTATION,Near-term climate action priorities for transportation.,,structural header,"Guided by the 2013 Climate Action Plan and a review of recent emissions trends and climate actions, we have identified a suite of near-term priority actions, which will help the City remain on track to meet our climate protection goals. The actions are presented below and summarized in Table 1.",Introduces a set of near-term priority actions followed by distinct action items under the TRANSPORTATION heading.
0,parent_with_subs,sub,Transport,Improving mobility through pricing,"Develop and release a strategy to address congestion and transportation emissions through pricing, coupled with investments in expanded transit and electrification in underserved communities.",Near-term climate action priorities for transportation.,structural header,"Announce that the City will develop and release a strategy to address congestion and transportation emissions through pricing, coupled with investments in expanded transit and electrification in underserved communities.",Specific planned intervention (pricing strategy) with linked investment focus; presented as an action item under the TRANSPORTATION near-term priorities.
0,parent_with_subs,sub,Transport,Electric vehicle readiness ordinance for new construction,Pass a new electric vehicle readiness ordinance in 2018 to ensure new construction or renovation of parking structures is built with electric vehicle infrastructure.,Near-term climate action priorities for transportation.,structural header,"Pass a new electric vehicle readiness ordinance in 2018, which will ensure new construction or renovation of parking structures is built with electric vehicle infrastructure.",Clear commitment with a deadline (2018) to pass an ordinance.
0,parent_with_subs,sub,Transport,Charging station network map & strategy,Release a map of optimal distribution of charging infrastructure in 2018 and use it to guide public and private investment with a focus on equitable distribution.,Near-term climate action priorities for transportation.,structural header,"Release map of optimal distribution of charging infrastructure in 2018. The map will guide public and private investment in the network, based on a set of criteria, with a specific focus on equitable distribution",Time-bound deliverable (2018 map) and specified intended use (guiding investment/equity).
0,parent_with_subs,sub,Transport,Ride share and taxi fleet electrification,"Work with stakeholders to create recommendations for electrifying shared/for-hire fleets, determine a year after which all such vehicles must be electric, and prepare to permit only electric vehicles for for-hire use.",Near-term climate action priorities for transportation.,structural header,"The city will work with these stakeholders to create recommendations on how to electrify shared vehicle fleets, determine a year after which all such vehicles must be electric, and prepare for the City to begin permitting only electric vehicles for for-hire use.",Specific regulatory preparation (permitting only EVs) and defined planning outputs; listed as a near-term action.
0,parent_with_subs,sub,Transport,Green Fleet Action Plan update,Create a new Green Fleet Action Plan by the end of 2018 to accelerate electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles.,Near-term climate action priorities for transportation.,structural header,"Create a new Green Fleet Action Plan, by the end of 2018, to accelerate the electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles.",Clear time-bound commitment (end of 2018) to create a new plan with defined objectives.
1,parent_with_subs,parent,Economy-wide,GHG EMISSIONS ASSESSMENT,Near-term climate action priorities to assess GHG emissions impacts of City decisions.,,standalone parent policy,"The City of Seattle does not current have a city-wide policy for tracking the carbon impacts of policies or projects, which limits our ability to fully understand the cost or savings related to carbon emissions.",This heading introduces a discrete action item immediately below; treated as a parent for the listed action.
1,parent_with_subs,sub,Economy-wide,Assess GHG Emissions Impact of City decisions,"Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments, with OSE to define scope and method by October 2018.",Near-term climate action priorities to assess GHG emissions impacts of City decisions.,standalone parent policy,"Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments. The Mayor will direct the Office of Sustainability & Environment to work with departments to define the types of projects to assess, the assessment method, and how to account for the broader costs of carbon, by October 2018.",Binding mechanism (Executive Order) plus a dated implementation milestone (October 2018).
2,parent_with_subs,parent,Buildings,BUILDINGS,Near-term climate action priorities for buildings.,,structural header,"To accomplish these goals, policies will first aim to spur actions through incentives and other measures, as well as leading efforts in City-owned buildings, with specific requirements when needed.","BUILDINGS section presents multiple distinct actions underneath it (code, pilots, standards, utility programs, municipal targets, conversions), fitting a parent grouping."
2,parent_with_subs,sub,Buildings,Washington State tiered residential energy code,"Pursue state legislation to enable a tiered residential energy code, making it a City priority in the 2019 legislative session.",Near-term climate action priorities for buildings.,structural header,Legislation to allow for tiered energy codes will be a priority for the City of Seattle in the 2019 legislative session.,Explicit commitment to prioritize legislation in a specific session (2019).
2,parent_with_subs,sub,Buildings,"Establish new 2030 Challenge pilot for 20 upgraded, high performing projects by 2025","Create a new pilot program offering additional height and floor area incentives for up to 20 major renovations in exchange for deep reductions including no fossil fuels for heating, and adjust related incentives/penalties consistent with the 2030 Challenge.",Near-term climate action priorities for buildings.,structural header,"A new pilot will offer additional height and floor area incentives for up to 20 major renovations in urban centers outside the International District. Projects would receive the incentives in exchange for cutting energy and water use well below code, including no use of fossil fuels for heating.",Specific pilot intervention with a numeric cap (20 projects) and defined performance exchange.
2,parent_with_subs,sub,Buildings,Incentive-driven 2030 performance standards for commercial and multifamily buildings,"Provide programs and incentives to improve efficiency and reduce emissions in commercial and multifamily buildings, backed by a minimum performance standard beginning in 2030.",Near-term climate action priorities for buildings.,structural header,"Provide programs and incentives to spur improved energy efficiency and reduced carbon emissions, backed by a minimum performance standard beginning in 2030.",Defines a future binding mechanism (minimum performance standard) with a start date (2030) supported by interim programs.
2,parent_with_subs,sub,Buildings,City Light Whole Building Pay for Performance (P4P) Programs,Seattle City Light will pilot Energy Efficiency as a Service (EEaS) as part of whole-building programs to enable deeper energy efficiency in commercial buildings.,Near-term climate action priorities for buildings.,structural header,"Seattle City Light will pilot Energy Efficiency as a Service (EEaS), which is explicitly designed to help participants overcome the split incentive barrier in commercial buildings",Explicit commitment to pilot a named utility program (EEaS).
