cluster_id,cluster_type,role,section_header,sector,policy_statement,parent_statement,verbatim_text,extraction_rationale,policy_type,parent_policy_name
0,individual,individual,Letter from the MAYOR,Cross-sector,"Invest $188 million in equity-focused climate interventions, including building retrofits, expansion of the air quality monitoring network, and planting over 75,000 trees.",,"To kickstart the implementation of my administration's climate strategy, we are investing $188 million in equity-focused interventions, spanning building retrofits, the expansion of the air quality monitoring network, to the planting of over 75,000 trees.",Explicit resource allocation ($188 million) tied to specific interventions; qualifies as a policy commitment.,individual,
1,individual,individual,TREE EQUITY,AFOLU,"Plant 75,000 trees by 2026.",,"Together with city departments and community partners, Chicago has the goal of planting 75,000 trees by 2026.","Quantified target with deadline (75,000 trees by 2026).",individual,
2,individual,individual,GHG REDUCTION TARGETS / ACCOUNTABILITY AND IMPLEMENTATION,Cross-sector,Reduce Chicago's GHG emissions by a minimum of 62% by 2040 based on 2017 inventory levels.,,"The 2022 CAP aims to chart an equitable path to reduce Chicago's GHG emissions by a minimum of 62% by 2040.

Guided by the strategies and actions of this plan, the City of Chicago aims to reduce the city's level of GHG emissions by 62% by 2040, based on 2017 GHG inventory levels.",Quantifiable economy-wide emissions reduction target with year.,individual,
3,individual,individual,The Role of Offsets,Cross-sector,Do not count carbon offset credits toward Chicago’s 62% GHG reduction goal; prioritize reducing the City's own emissions before action beyond its borders.,,"Chicago will not count offset credits toward its 62% GHG reduction goal achievement. Furthermore, the City will reduce its own emissions before taking action beyond its borders.",Clear policy rule restricting use of offsets for meeting the target.,individual,
4,individual,individual,CLIMATE FINANCING AND DELIVERY CAPACITY,Buildings,"Benchmarking Ordinance (2013) requiring covered buildings (50,000 sq ft and larger) to track and annually report energy use to the City and verify data accuracy every three years; expanded in 2019 via Chicago Energy Rating System requiring on-site display of ratings.",,"Benchmarking Ordinance, 2013: This ordinance supports greater transparency on energy usage across the building sector. Existing municipal, commercial, and residential buildings that are 50,000 square feet and larger are called to track energy use, report to the City annually, and verify data accuracy every three years. Chicago's benchmarking program was expanded in 2019 with the Chicago Energy Rating System, which assigns an energy rating to covered buildings based on their reporting and requires buildings to display the rating in a prominent location onsite.",Binding mechanism (ordinance) with clear requirements and thresholds.,individual,
5,individual,individual,CLIMATE FINANCING AND DELIVERY CAPACITY,Transport,EV Readiness Ordinance (2020) requiring specified new buildings to provide 20% of parking spaces as EV-ready (5+ unit residential with on-site parking; non-residential with 30+ spaces).,,"EV Readiness Ordinance, 2020: This ordinance requires new construction of a residential building with 5 or more units and on-site parking to have 20% of parking spaces EV Ready, and in non-residential buildings with 30 or more parking spaces to provide 20% of parking spaces as EV ready.",Binding mechanism (ordinance) with explicit percentage requirements and applicability thresholds.,individual,
6,individual,individual,Chicago Recovery Plan funding overlap with Chicago's 2022 Climate Action Plan,Buildings,Chicago Recovery Plan climate investment: Decarbonize Affordable Multifamily Buildings program to retrofit and decarbonize 200 multifamily affordable housing units in underserved communities using $6 million.,,Decarbonize Affordable Multifamily Buildings | $6 million | Retrofit and decarbonize 200 multifamily affordable housing units in underserved communities.,Resource allocation ($6M) with quantified deliverable (200 units).,individual,
7,individual,individual,Chicago Recovery Plan funding overlap with Chicago's 2022 Climate Action Plan,Buildings,Chicago Recovery Plan climate investment: Low- or Moderate-Income (LMI) Housing Retrofits program to retrofit and decarbonize 250 LMI homes in underserved communities using $15 million.,,Low- or Moderate-Income (LMI) Housing Retrofits | $15 million | Retrofit and decarbonize 250 LMI homes in underserved communities.,Resource allocation ($15M) with quantified deliverable (250 homes).,individual,
8,individual,individual,Chicago Recovery Plan funding overlap with Chicago's 2022 Climate Action Plan,AFOLU,"Chicago Recovery Plan climate investment: Expand Canopy Coverage program to plant 75,000 trees over 5 years using $46 million.",,"Expand Canopy Coverage | $46 million | Plant 75,000 trees over 5 years in underserved community areas.","Budgeted program with quantified deliverable (75,000 trees) and timeframe (5 years).",individual,
9,parent_with_subs,parent,Pillar 1 | Strategy 1. Retrofit buildings,Buildings,"Pillar 1 Strategy 1: Retrofit buildings with specified targets across residential, industrial, city-owned/sister-agency, and commercial buildings.",,"1 Increase access to utility savings and renewable energy, prioritizing households | 1. Retrofit buildings | A. Retrofit residential buildings with 4 or fewer units:20% by 2030 and 50%by2040, prioritizing low- or moder- ate-income households B. Retrofit 20%of total 5+ unit residential buildings by 2030 C. Retrofit 20%of total industrial buildings by 2030 D. Retrofit90%oftotalCity-ownedandsisteragen - cy-owned buildings by 2035 E. Retrofit 20%of total commercial buildings by 2035",A named strategy with multiple lettered sub-actions and quantified targets; extract as parent plus sub-policies.,parent,
