policy_id,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value
000,individual,,"Hiroshima City sets greenhouse gas reduction targets of 80% below FY2013 by FY2050, 30% below FY2013 by FY2030, and 5% below FY2013 by FY2020.",Mitigation,M-1,policy_traces/000_Hiroshima_City_sets_greenhouse_gas_reduction_targets_of_80_b.json,trace_individual_policies_valid.csv,policy_statement,"Hiroshima City sets greenhouse gas reduction targets of 80% below FY2013 by FY2050, 30% below FY2013 by FY2030, and 5% below FY2013 by FY2020."
001,individual,,Hiroshima City targets low-carbon houses at 50% of newly built detached houses by FY2020.,Mitigation,M-1,policy_traces/001_Hiroshima_City_targets_low_carbon_houses_at_50_of_newly_buil.json,trace_individual_policies_valid.csv,policy_statement,Hiroshima City targets low-carbon houses at 50% of newly built detached houses by FY2020.
002,individual,,Hiroshima City targets ZEB adoption in newly built apartment buildings at almost 100% by FY2030.,Mitigation,M-1,policy_traces/002_Hiroshima_City_targets_ZEB_adoption_in_newly_built_apartment.json,trace_individual_policies_valid.csv,policy_statement,Hiroshima City targets ZEB adoption in newly built apartment buildings at almost 100% by FY2030.
003,individual,,"Hiroshima City targets household fuel cell installations of 15,000 by FY2020 and 56,000 by FY2030.",Mitigation,M-1,policy_traces/003_Hiroshima_City_targets_household_fuel_cell_installations_of_.json,trace_individual_policies_valid.csv,policy_statement,"Hiroshima City targets household fuel cell installations of 15,000 by FY2020 and 56,000 by FY2030."
004,individual,,Hiroshima City targets more than 80% household LED lighting adoption by 50% of citizens by FY2020 and almost 100% by FY2030.,Resource Efficiency,RE-1,policy_traces/004_Hiroshima_City_targets_more_than_80_household_LED_lighting_a.json,trace_individual_policies_valid.csv,policy_statement,Hiroshima City targets more than 80% household LED lighting adoption by 50% of citizens by FY2020 and almost 100% by FY2030.
005,individual,,"Hiroshima City targets cumulative adoption of Eco Action 21 and ISO14001 by offices at 500 by FY2020 and 1,000 by FY2030.",Mitigation,M-3,policy_traces/005_Hiroshima_City_targets_cumulative_adoption_of_Eco_Action_21_.json,trace_individual_policies_valid.csv,policy_statement,"Hiroshima City targets cumulative adoption of Eco Action 21 and ISO14001 by offices at 500 by FY2020 and 1,000 by FY2030."
006,individual,,Hiroshima City targets LED lighting use in offices at 88.1% by FY2020 and almost 100% by FY2030.,Mitigation,M-1,policy_traces/006_Hiroshima_City_targets_LED_lighting_use_in_offices_at_881_by.json,trace_individual_policies_valid.csv,policy_statement,Hiroshima City targets LED lighting use in offices at 88.1% by FY2020 and almost 100% by FY2030.
007,individual,,Hiroshima City targets Business Energy Management System (BEMS) adoption in offices at 13% by FY2020 and 47% by FY2030.,Mitigation,M-1,policy_traces/007_Hiroshima_City_targets_Business_Energy_Management_System_BEM.json,trace_individual_policies_valid.csv,policy_statement,Hiroshima City targets Business Energy Management System (BEMS) adoption in offices at 13% by FY2020 and 47% by FY2030.
008,individual,,Hiroshima City targets next-generation vehicles to reach 19% of owned vehicles by FY2020 and 38% by FY2030.,Mitigation,M-3,policy_traces/008_Hiroshima_City_targets_next_generation_vehicles_to_reach_19_.json,trace_individual_policies_valid.csv,policy_statement,Hiroshima City targets next-generation vehicles to reach 19% of owned vehicles by FY2020 and 38% by FY2030.
009,individual,,"Hiroshima City targets public transport use in the city at 598,000 people per day by FY2020.",Mitigation,M-2,policy_traces/009_Hiroshima_City_targets_public_transport_use_in_the_city_at_5.json,trace_individual_policies_valid.csv,policy_statement,"Hiroshima City targets public transport use in the city at 598,000 people per day by FY2020."
010,individual,,"Hiroshima City targets reducing waste generation to 826 g per person per day and waste incineration to 295,000 tons per year by FY2020.",Mitigation,M-3,policy_traces/010_Hiroshima_City_targets_reducing_waste_generation_to_826_g_pe.json,trace_individual_policies_valid.csv,policy_statement,"Hiroshima City targets reducing waste generation to 826 g per person per day and waste incineration to 295,000 tons per year by FY2020."
011,individual,,Hiroshima City targets cumulative dispersed power installations in city facilities of 1 by FY2020 and 8 by FY2030.,Mitigation,,policy_traces/011_Hiroshima_City_targets_cumulative_dispersed_power_installati.json,trace_individual_policies_valid.csv,policy_statement,Hiroshima City targets cumulative dispersed power installations in city facilities of 1 by FY2020 and 8 by FY2030.
012,individual,,Hiroshima City targets cumulative smart communities of 3 by FY2020 and 10 by FY2030.,Mitigation,,policy_traces/012_Hiroshima_City_targets_cumulative_smart_communities_of_3_by_.json,trace_individual_policies_valid.csv,policy_statement,Hiroshima City targets cumulative smart communities of 3 by FY2020 and 10 by FY2030.
013,individual,,"For government operations, Hiroshima City sets reduction targets for city-office greenhouse gas emissions of 5.1% below FY2013 by FY2020 and 30% below FY2013 by FY2030.",Mitigation,M-1,policy_traces/013_For_government_operations_Hiroshima_City_sets_reduction_targ.json,trace_individual_policies_valid.csv,policy_statement,"For government operations, Hiroshima City sets reduction targets for city-office greenhouse gas emissions of 5.1% below FY2013 by FY2020 and 30% below FY2013 by FY2030."
