policy_id,row_key,source_bundle_key,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path,atom_id,parent_row_id,is_atomized_row,is_decomposed,source_bundle_policy_statement,validation_inherited_from_bundle,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Hong_Kong_China::17087f6a14b5dd0105a36521,Hong_Kong_China::17087f6a14b5dd0105a36521,sub,Parent strategy: Net-zero electricity generation (long-term target of net-zero carbon emissions in electricity generation before 2050) by increasing use of zero-carbon energy and pursuing suitable supply options.,standalone parent policy,"By 2035, Hong Kong will cease using coal for daily electricity generation and keep coal only for backup; coal will be replaced by natural gas and zero-carbon energy (including renewables and nuclear).",Mitigation,,,policy_traces/001_By_2035_Hong_Kong_will_cease_using_coal_for_daily_electricit.json,,,False,False,,,,,,,,
002,Hong_Kong_China::21e6f255a7d37abcd77472c5,Hong_Kong_China::21e6f255a7d37abcd77472c5,sub,Parent strategy: Net-zero electricity generation (long-term target of net-zero carbon emissions in electricity generation before 2050) by increasing use of zero-carbon energy and pursuing suitable supply options.,standalone parent policy,"Hong Kong will increase the share of renewable energy in the electricity generation fuel mix from less than 1% to 7.5–10% by 2035, and to 15% before 2050.",Mitigation,,,policy_traces/002_Hong_Kong_will_increase_the_share_of_renewable_energy_in_the.json,,,False,False,,,,,,,,
003,Hong_Kong_China::5d5e0a6b484a0c3cec06b4c0,Hong_Kong_China::5d5e0a6b484a0c3cec06b4c0,sub,Parent strategy: Net-zero electricity generation (long-term target of net-zero carbon emissions in electricity generation before 2050) by increasing use of zero-carbon energy and pursuing suitable supply options.,standalone parent policy,"The Government will incorporate renewable energy technologies in all capital works projects, update the Green Government Buildings circular, and increase required roof space for installing RE systems in new government buildings from 10% to 25%, while continuing RE installation in existing government buildings where possible.",Mitigation,,,policy_traces/003_The_Government_will_incorporate_renewable_energy_technologie.json,,,False,False,,,,,,,,
004,Hong_Kong_China::ad8aae884a7a3be85944e11d,Hong_Kong_China::ad8aae884a7a3be85944e11d,sub,Parent strategy: Net-zero electricity generation (long-term target of net-zero carbon emissions in electricity generation before 2050) by increasing use of zero-carbon energy and pursuing suitable supply options.,standalone parent policy,"WSD plans to install larger floating solar systems (5–10 MW each) at multiple reservoirs and is studying a >100 MW floating solar system at Plover Cove Reservoir, targeted to generate over 100 million kWh/year.",Mitigation,,,policy_traces/004_WSD_plans_to_install_larger_floating_solar_systems_510_MW_ea.json,,,False,False,,,,,,,,
005,Hong_Kong_China::bb558ee0c15fa292d7423946,Hong_Kong_China::bb558ee0c15fa292d7423946,sub,Parent strategy: Net-zero electricity generation (long-term target of net-zero carbon emissions in electricity generation before 2050) by increasing use of zero-carbon energy and pursuing suitable supply options.,standalone parent policy,The Government and power companies will enhance regional cooperation to identify and invest in zero-carbon energy sources/projects in neighbouring regions through joint investment and development.,Mitigation,,,policy_traces/005_The_Government_and_power_companies_will_enhance_regional_coo.json,,,False,False,,,,,,,,
007,Hong_Kong_China::e2889a1f903a60b6f103919b,Hong_Kong_China::e2889a1f903a60b6f103919b,sub,"Parent strategy: Energy saving and green buildings, with targets to cut building electricity consumption and strengthen regulations and tools to improve energy performance.",standalone parent policy,Hong Kong will reduce electricity consumption of new and existing commercial buildings by 15–20% and residential buildings by 10–15% by 2035 (baseline: 2015 operational conditions).,Mitigation,,,policy_traces/007_Hong_Kong_will_reduce_electricity_consumption_of_new_and_exi.json,,,False,False,,,keep,0.93,True,,,False
008,Hong_Kong_China::8654ffaed9ca9b6c54f72d0f,Hong_Kong_China::8654ffaed9ca9b6c54f72d0f,sub,"Parent strategy: Energy saving and green buildings, with targets to cut building electricity consumption and strengthen regulations and tools to improve energy performance.",standalone parent policy,The Government plans to tighten statutory OTTV standards by 2025 and complete RTTV reviews by 2023 and 2030; new government buildings will have OTTV at least 10% above statutory standards.,Mitigation,,,policy_traces/008_The_Government_plans_to_tighten_statutory_OTTV_standards_by_.json,,,False,False,,,keep,0.88,True,,,False
009,Hong_Kong_China::b5764b72efd2b2cc553faefa,Hong_Kong_China::b5764b72efd2b2cc553faefa,sub,"Parent strategy: Energy saving and green buildings, with targets to cut building electricity consumption and strengthen regulations and tools to improve energy performance.",standalone parent policy,The Government will study adding district cooling systems (DCS) in more new development areas (including Hung Shui Kiu/Ha Tsuen and artificial islands in Central Waters).,Resource Efficiency,,,policy_traces/009_The_Government_will_study_adding_district_cooling_systems_DC.json,,,False,False,,,,,,,,
010,Hong_Kong_China::ec67fcece3d2d4b2432844e0,Hong_Kong_China::ec67fcece3d2d4b2432844e0,sub,"Parent strategy: Energy saving and green buildings, with targets to cut building electricity consumption and strengthen regulations and tools to improve energy performance.",standalone parent policy,"The Government will consider more frequent energy audits and mandating implementation of identified energy management opportunities, strengthen promotion of retro-commissioning, and consider requiring large commercial buildings to regularly commission key systems.",Mitigation,,,policy_traces/010_The_Government_will_consider_more_frequent_energy_audits_and.json,,,False,False,,,keep,0.86,True,,,False
011,Hong_Kong_China::6fd3d2fe9a91f0de7caa7fc6,Hong_Kong_China::6fd3d2fe9a91f0de7caa7fc6,sub,"Parent strategy: Energy saving and green buildings, with targets to cut building electricity consumption and strengthen regulations and tools to improve energy performance.",standalone parent policy,"The Government will keep the Mandatory Energy Efficiency Labelling Scheme (MEELS) under review, consider setting minimum energy efficiency requirements for specified appliances before supply in Hong Kong, and consider expanding MEELS to non-domestic/commercial appliances.",Mitigation,,,policy_traces/011_The_Government_will_keep_the_Mandatory_Energy_Efficiency_Lab.json,,,False,False,,,keep,0.86,True,,,False
