policy_id,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path
000,parent,,standalone parent policy,"By 2030, achieve net-zero carbon for all new buildings, reduce emissions by 25% for existing buildings, and lower all natural gas-related emissions by 30%.",Mitigation,Resource Efficiency,M-1,policy_traces/000_By_2030_achieve_net_zero_carbon_for_all_new_buildings_reduce.json
001,sub,"By 2030, achieve net-zero carbon for all new buildings, reduce emissions by 25% for existing buildings, and lower all natural gas-related emissions by 30%.",standalone parent policy,"Pursue a comprehensive energy poverty mitigation strategy through partnerships and programs so building repair, conservation, and renewable energy benefits flow to low-income communities and communities of color.",Mitigation,Resource Efficiency,M-1,policy_traces/001_Pursue_a_comprehensive_energy_poverty_mitigation_strategy_th.json
002,sub,"By 2030, achieve net-zero carbon for all new buildings, reduce emissions by 25% for existing buildings, and lower all natural gas-related emissions by 30%.",standalone parent policy,"Enhance resident and building owner understanding of energy savings and climate impacts through outreach, culturally relevant communications, expanded benchmarking requirements, and better access to energy and water data.",Mitigation,Resource Efficiency,M-1,policy_traces/002_Enhance_resident_and_building_owner_understanding_of_energy_.json
003,sub,"By 2030, achieve net-zero carbon for all new buildings, reduce emissions by 25% for existing buildings, and lower all natural gas-related emissions by 30%.",standalone parent policy,"Achieve net-zero carbon buildings through new energy codes, amendments, incentives, education, and collaboration with utilities to decarbonize new and existing buildings.",Mitigation,,,policy_traces/003_Achieve_net_zero_carbon_buildings_through_new_energy_codes_a.json
004,sub,"By 2030, achieve net-zero carbon for all new buildings, reduce emissions by 25% for existing buildings, and lower all natural gas-related emissions by 30%.",standalone parent policy,Prioritize local emissions reduction investment and create equitable workforce development and training opportunities for emerging building technologies through partnerships serving low-income communities and communities of color.,Mitigation,Nature-Based Solutions,M-3,policy_traces/004_Prioritize_local_emissions_reduction_investment_and_create_e.json
005,parent,,standalone parent policy,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",Mitigation,Nature-Based Solutions,M-3,policy_traces/005_By_2030_reduce_community_wide_greenhouse_gas_emissions_from_.json
006,sub,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",standalone parent policy,Develop a refrigerant destruction program that prices older high-ozone-depleting and high-global-warming-potential refrigerants to increase capture and safe destruction.,Mitigation,Nature-Based Solutions,M-3,policy_traces/006_Develop_a_refrigerant_destruction_program_that_prices_older_.json
007,sub,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",standalone parent policy,Follow revised building code developments and move forward with local code amendments and actions to encourage low- and no-GWP refrigerants as soon as feasible.,Mitigation,Nature-Based Solutions,M-3,policy_traces/007_Follow_revised_building_code_developments_and_move_forward_w.json
008,sub,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",standalone parent policy,"Partner with commercial refrigeration and HVAC stakeholders to create incentives for refrigerant leak detection, prevention, and repair.",Mitigation,Nature-Based Solutions,M-3,policy_traces/008_Partner_with_commercial_refrigeration_and_HVAC_stakeholders_.json
009,sub,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",standalone parent policy,"Create an awareness, education, and training campaign for HVAC providers and building stakeholders on refrigerant management and leak prevention, detection, and repair.",Mitigation,Nature-Based Solutions,M-3,policy_traces/009_Create_an_awareness_education_and_training_campaign_for_HVAC.json
010,sub,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",standalone parent policy,"Reduce and prevent refrigerant use to the extent possible, especially refrigerants with high global warming potential.",Mitigation,Nature-Based Solutions,M-3,policy_traces/010_Reduce_and_prevent_refrigerant_use_to_the_extent_possible_es.json
011,parent,,standalone parent policy,"By 2030, reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline.",Mitigation,Nature-Based Solutions,M-3,policy_traces/011_By_2030_reduce_the_embodied_carbon_footprint_of_building_mat.json
012,sub,"By 2030, reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline.",standalone parent policy,"Develop City of Austin design and construction specifications and purchasing agreements for healthy, low-carbon buildings in partnership with other cities and states.",Mitigation,Nature-Based Solutions,M-3,policy_traces/012_Develop_City_of_Austin_design_and_construction_specification.json
013,sub,"By 2030, reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline.",standalone parent policy,Enhance and integrate lower-carbon building materials and deconstruction practices into city incentive programs and transition voluntary guidance into development agreements over time.,Mitigation,Nature-Based Solutions,M-3,policy_traces/013_Enhance_and_integrate_lower_carbon_building_materials_and_de.json
014,sub,"By 2030, reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline.",standalone parent policy,"Create a performance framework and educational programming to reduce the lifecycle and health impacts of building materials and construction practices, focusing on low-income communities and communities of color.",Mitigation,Resource Efficiency,M-1,policy_traces/014_Create_a_performance_framework_and_educational_programming_t.json
015,sub,"By 2030, reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline.",standalone parent policy,"Prioritize partnerships in local materials markets to decarbonize high-impact building materials such as glass, steel, aluminum, concrete, drywall, insulation, and carpet.",Mitigation,Nature-Based Solutions,M-3,policy_traces/015_Prioritize_partnerships_in_local_materials_markets_to_decarb.json
016,parent,,standalone parent policy,"By 2030, equitably achieve a community-wide water demand of approximately 152,000 acre-feet per year by implementing Water Forward strategies.",Resource Efficiency,Adaptation,RE-2,policy_traces/016_By_2030_equitably_achieve_a_community_wide_water_demand_of_a.json
017,sub,"By 2030, equitably achieve a community-wide water demand of approximately 152,000 acre-feet per year by implementing Water Forward strategies.",standalone parent policy,"Enhance community engagement and partnerships to advance equity through Water Forward strategies, including advanced metering, incentives, and ordinances.",Resource Efficiency,Mitigation,RE-1,policy_traces/017_Enhance_community_engagement_and_partnerships_to_advance_equ.json
018,sub,"By 2030, equitably achieve a community-wide water demand of approximately 152,000 acre-feet per year by implementing Water Forward strategies.",standalone parent policy,"Evaluate water conservation, customer assistance, and workforce development program criteria to address structural barriers to participation and expand enrollment for low-income customers.",Resource Efficiency,,,policy_traces/018_Evaluate_water_conservation_customer_assistance_and_workforc.json
019,sub,"By 2030, equitably achieve a community-wide water demand of approximately 152,000 acre-feet per year by implementing Water Forward strategies.",standalone parent policy,"Assess links between water demand reduction and energy consumption, and pursue synergistic water conservation and energy management efforts through programs and partnerships.",Mitigation,Resource Efficiency,M-1,policy_traces/019_Assess_links_between_water_demand_reduction_and_energy_consu.json
020,parent,,standalone parent policy,"By 2030, ensure 80% of new non-residential development is located within the city's activity centers and corridors.",Mitigation,Nature-Based Solutions,M-3,policy_traces/020_By_2030_ensure_80_of_new_non_residential_development_is_loca.json
021,sub,"By 2030, ensure 80% of new non-residential development is located within the city's activity centers and corridors.",standalone parent policy,"Adopt Complete Communities plans that reverse historical racist impacts, address displacement, and preserve neighborhoods in communities of color.",Mitigation,Adaptation,M-2,policy_traces/021_Adopt_Complete_Communities_plans_that_reverse_historical_rac.json
022,sub,"By 2030, ensure 80% of new non-residential development is located within the city's activity centers and corridors.",standalone parent policy,Work with medium and large employers to locate business sites in growth centers and along corridors.,Mitigation,Nature-Based Solutions,M-3,policy_traces/022_Work_with_medium_and_large_employers_to_locate_business_site.json
023,sub,"By 2030, ensure 80% of new non-residential development is located within the city's activity centers and corridors.",standalone parent policy,Create community mobility hubs adjacent to transit stops that offer first- and last-mile mobility options and a complete trip experience.,Mitigation,Nature-Based Solutions,M-3,policy_traces/023_Create_community_mobility_hubs_adjacent_to_transit_stops_tha.json
024,sub,"By 2030, ensure 80% of new non-residential development is located within the city's activity centers and corridors.",standalone parent policy,Phase out free employee parking at city facilities and other large employers near the transit priority network and replace it with commuter benefit options.,Mitigation,Nature-Based Solutions,M-3,policy_traces/024_Phase_out_free_employee_parking_at_city_facilities_and_other.json
025,parent,,standalone parent policy,"By 2027, preserve and produce 135,000 housing units, including 60,000 affordable units, with 75% of new housing within half a mile of activity centers and corridors.",Mitigation,Adaptation,M-2,policy_traces/025_By_2027_preserve_and_produce_135000_housing_units_including_.json
026,sub,"By 2027, preserve and produce 135,000 housing units, including 60,000 affordable units, with 75% of new housing within half a mile of activity centers and corridors.",standalone parent policy,"Engage directly with communities vulnerable to displacement, connect them with services, and proactively monitor at-risk affordable housing properties to extend affordability.",Adaptation,Resource Efficiency,A-2,policy_traces/026_Engage_directly_with_communities_vulnerable_to_displacement_.json
