policy_id,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value
000,parent,,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.,Adaptation,,policy_traces/000_Dakar_will_improve_the_living_environment_and_public_hygiene.json,trace_initiative_policies_valid.csv,parent_statement,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.
001,sub,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.,"Dakar will strengthen networks for observing, measuring and collecting climate, coastal and urban pollution data.",Adaptation,A-2,policy_traces/001_Dakar_will_strengthen_networks_for_observing_measuring_and_c.json,trace_initiative_policies_valid.csv,parent_statement,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.
002,sub,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.,Dakar will reduce the number of people vulnerable to the effects of climate change through awareness-raising and communication.,Adaptation,A-3,policy_traces/002_Dakar_will_reduce_the_number_of_people_vulnerable_to_the_eff.json,trace_initiative_policies_valid.csv,parent_statement,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.
003,sub,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.,Dakar will reduce the vulnerability of populations to heatwaves.,Adaptation,A-2,policy_traces/003_Dakar_will_reduce_the_vulnerability_of_populations_to_heatwa.json,trace_initiative_policies_valid.csv,parent_statement,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.
004,sub,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.,Dakar will increase initiatives to protect populations against risks and disasters linked to extreme events and climate change.,Adaptation,A-3,policy_traces/004_Dakar_will_increase_initiatives_to_protect_populations_again.json,trace_initiative_policies_valid.csv,parent_statement,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.
005,sub,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.,Dakar will reduce air pollutants by 2030 to improve air quality and lower the rate of respiratory disease.,Mitigation,,policy_traces/005_Dakar_will_reduce_air_pollutants_by_2030_to_improve_air_qual.json,trace_initiative_policies_valid.csv,parent_statement,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.
006,sub,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.,Dakar will increase urban green spaces by 150 hectares by 2030.,Adaptation,,policy_traces/006_Dakar_will_increase_urban_green_spaces_by_150_hectares_by_20.json,trace_initiative_policies_valid.csv,parent_statement,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.
007,sub,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.,Dakar will increase areas of ecological urban agriculture and access to better quality agricultural products by 2030 to strengthen food security.,Adaptation,A-2,policy_traces/007_Dakar_will_increase_areas_of_ecological_urban_agriculture_an.json,trace_initiative_policies_valid.csv,parent_statement,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.
008,sub,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.,Dakar will increase the proportion of infrastructure adapted and resilient to climate risks.,Adaptation,A-2,policy_traces/008_Dakar_will_increase_the_proportion_of_infrastructure_adapted.json,trace_initiative_policies_valid.csv,parent_statement,Dakar will improve the living environment and public hygiene to strengthen people's resilience through adaptation measures.
009,individual,,Dakar has set a target to reduce GHG emissions by 54% by 2050.,Mitigation,M-1,policy_traces/009_Dakar_has_set_a_target_to_reduce_GHG_emissions_by_54_by_2050.json,trace_individual_policies_valid.csv,policy_statement,Dakar has set a target to reduce GHG emissions by 54% by 2050.
010,individual,,Dakar has set a target to reduce the energy bill in its built heritage by 75% by 2050.,Mitigation,M-1,policy_traces/010_Dakar_has_set_a_target_to_reduce_the_energy_bill_in_its_buil.json,trace_individual_policies_valid.csv,policy_statement,Dakar has set a target to reduce the energy bill in its built heritage by 75% by 2050.
011,individual,,Dakar aims to increase the share of LEDs to 75% of total street lighting lamps by 2050.,Resource Efficiency,RE-1,policy_traces/011_Dakar_aims_to_increase_the_share_of_LEDs_to_75_of_total_stre.json,trace_individual_policies_valid.csv,policy_statement,Dakar aims to increase the share of LEDs to 75% of total street lighting lamps by 2050.
012,individual,,Dakar aims to increase the modal share of BRT to 20% and TER to 15% by 2050.,Mitigation,M-2,policy_traces/012_Dakar_aims_to_increase_the_modal_share_of_BRT_to_20_and_TER_.json,trace_individual_policies_valid.csv,policy_statement,Dakar aims to increase the modal share of BRT to 20% and TER to 15% by 2050.
013,individual,,Dakar aims to increase the share of new households in transit-oriented development to 25% by 2050.,Mitigation,M-2,policy_traces/013_Dakar_aims_to_increase_the_share_of_new_households_in_transi.json,trace_individual_policies_valid.csv,policy_statement,Dakar aims to increase the share of new households in transit-oriented development to 25% by 2050.
014,individual,,Dakar aims for 50% of organic waste and 30% of garden waste to be composted by 2050.,Mitigation,M-3,policy_traces/014_Dakar_aims_for_50_of_organic_waste_and_30_of_garden_waste_to.json,trace_individual_policies_valid.csv,policy_statement,Dakar aims for 50% of organic waste and 30% of garden waste to be composted by 2050.
015,individual,,Dakar aims for 32% of wastewater treatment to be done through activated sludge treatment by 2050.,Adaptation,A-2,policy_traces/015_Dakar_aims_for_32_of_wastewater_treatment_to_be_done_through.json,trace_individual_policies_valid.csv,policy_statement,Dakar aims for 32% of wastewater treatment to be done through activated sludge treatment by 2050.
