city,cluster_type,role,section_header,policy_statement,parent_statement,parent_row_type,verbatim_text,extraction_rationale,canonical_mechanism,mechanism_description,secondary_categories,is_financial_instrument,primary_category,climate_relevance
Austin_Texas_United_States,parent_with_subs,parent,NEW 2030 CLIMATE EQUITY GOALS FOR AUSTIN — Sustainable Buildings,Achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30% by 2030.,,standalone parent policy,"## Sustainable Buildings

- Achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30%.",Quantified 2030 building-sector targets; followed by multiple numbered strategies in the Sustainable Buildings section.,building_energy_code → energy_use_reduction,"The policy aims for net-zero carbon in new buildings and lower emissions in existing buildings, including reducing emissions from natural gas use, which reduces building operational energy-related emissions.",,no,Mitigation,direct
Austin_Texas_United_States,parent_with_subs,sub,SUSTAINABLE BUILDINGS — Goal: Net-zero carbon new buildings; 25% existing; 30% gas emissions reduction,Ensure benefits of building decarbonization programs flow to low-income communities and communities of color through comprehensive energy poverty mitigation and partnerships.,Achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30% by 2030.,standalone parent policy,"## Strategy 1: Ensure benefits flow to low-income communities and communities of color

Pursue a comprehensive energy poverty mitigation strategy by partnering with trusted community organizations, affordable housing developers, and schools in equitable outreach and program development.",Specific intervention (energy poverty mitigation strategy and partnerships) tied to the buildings goal.,equitable_program_partnerships → energy_poverty_mitigation_and_equitable_benefit_distribution,"Partner with trusted community organizations, affordable housing developers, and schools to support equitable outreach and program development that mitigates energy poverty and helps benefits reach low-income communities and communities of color.",,no,Mitigation,indirect
Austin_Texas_United_States,parent_with_subs,sub,SUSTAINABLE BUILDINGS — Goal: Net-zero carbon new buildings; 25% existing; 30% gas emissions reduction,"Enhance resident and building owner understanding of energy consumption via outreach, culturally relevant communications, expanded benchmarking for existing buildings, and better access to energy and water data.",Achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30% by 2030.,standalone parent policy,"## Strategy 2: Enhance understanding of energy consumption

Enhance resident and building owner understanding of energy savings opportunities, benefits, and climate impacts of energy consumption. This will be done through direct outreach, culturally relevant communications, expanding benchmarking requirements for all existing buildings, and better access to energy and water data.",Concrete programmatic actions (benchmarking expansion; data access; outreach).,energy_benchmarking_disclosure → market_signal_for_efficiency,The city will expand benchmarking for existing buildings and improve outreach and access to energy and water data so residents and building owners better understand consumption and are encouraged to pursue energy-saving actions.,,no,Mitigation,direct
Austin_Texas_United_States,parent_with_subs,sub,SUSTAINABLE BUILDINGS — Goal: Net-zero carbon new buildings; 25% existing; 30% gas emissions reduction,"Achieve net-zero carbon building milestones through new building energy codes/amendments and incentives/education for existing building decarbonization, in collaboration with utilities and with equity focus.",Achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30% by 2030.,standalone parent policy,"## Strategy 3: Achieve energy-efficient, net-zero carbon buildings

Achieve goal milestones for net-zero carbon buildings through new building energy codes, amendments, and other methods. Engage owners and operators of existing buildings to decarbonize through incentives and education for contractors and occupants. Collaborate with local utilities to implement equitable emission reduction strategies.","Specific policy mechanisms (codes, amendments, incentives, education, utility collaboration).",building_energy_code → energy_use_reduction,The strategy uses new building energy codes and amendments and engages existing building owners and operators through incentives and education to cut building energy use and related emissions.,,no,Mitigation,direct
Austin_Texas_United_States,parent_with_subs,sub,SUSTAINABLE BUILDINGS — Goal: Net-zero carbon new buildings; 25% existing; 30% gas emissions reduction,Create equitable workforce development and training opportunities for emerging building-related technologies by partnering with local unions and education/advocacy organizations serving low-income communities and communities of color.,Achieve net-zero carbon for all new buildings and reduce emissions by 25% for existing buildings while lowering all natural gas-related emissions by 30% by 2030.,standalone parent policy,"## Strategy 4: Ensure equitable workforce development for emerging technologies

Prioritize investment in local emissions reduction and create equitable workforce development and training opportunities for emerging technologies by partnering with local unions, education, and advocacy organizations that serve low-income communities and communities of color.",Defines a workforce development intervention with specified partners and equity focus.,workforce_development_training → decarbonization_implementation_capacity,The strategy prioritizes investment and partnerships with unions and community-serving education and advocacy groups to create equitable training opportunities that build the workforce capacity needed to deploy emerging emissions-reducing technologies.,,no,Mitigation,direct
Austin_Texas_United_States,parent_with_subs,parent,SUSTAINABLE BUILDINGS — Refrigerants,Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25% by 2030.,,standalone parent policy,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",Quantified emissions-reduction target with a deadline; followed by a list of strategies.,refrigerant_management → fugitive_emissions_reduction,"The policy sets a goal to cut greenhouse gas emissions by reducing refrigerant leakage, lowering fugitive emissions from cooling and refrigeration systems.",,no,Mitigation,direct
Austin_Texas_United_States,parent_with_subs,sub,SUSTAINABLE BUILDINGS — Goal: Reduce refrigerant leakage emissions 25%,Develop a refrigerant destruction program that places a price on older high ozone-depleting and high-GWP refrigerants to increase capture and safe destruction.,Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25% by 2030.,standalone parent policy,"## Strategy 1: Capture and destroy old refrigerants

Develop a refrigerant destruction program that places a price on older high ozone-depleting substances and global warming potential (GWP) refrigerants.",Specific program intervention (destruction program with pricing mechanism).,refrigerant_management → fugitive_emissions_reduction,"Developing a refrigerant destruction program that places a price on older high-GWP refrigerants increases their capture and safe destruction, reducing fugitive emissions from leaks and disposal.",,no,Mitigation,direct
Austin_Texas_United_States,parent_with_subs,sub,SUSTAINABLE BUILDINGS — Goal: Reduce refrigerant leakage emissions 25%,Move forward with building code amendments and other local actions to allow/encourage low and no-GWP refrigerants as soon as feasible.,Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25% by 2030.,standalone parent policy,"## Strategy 2: Improve building codes to encourage cleaner refrigerants

Closely follow developments in revised building codes that allow the use of low and no GWP refrigerants... and move forward with code amendments and other local action as soon as feasible.",Regulatory/code change commitment related to refrigerants.,refrigerant_management → fugitive_emissions_reduction,"Update building codes and take local actions to allow and encourage low- and no-GWP refrigerants, reducing climate impacts from refrigerant leaks.",,no,Mitigation,direct
Austin_Texas_United_States,parent_with_subs,sub,SUSTAINABLE BUILDINGS — Goal: Reduce refrigerant leakage emissions 25%,"Create incentives for refrigerant leak detection, prevention, and repair in partnership with food retail, restaurants, warehouses, and HVAC companies, prioritizing outreach to small businesses owned by people of color.",Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25% by 2030.,standalone parent policy,"## Strategy 3: Create incentives for leak detection and repair

Partner with grocery stores, convenience stores, restaurants... to create an incentive for designing and tracking refrigerant leak detection, prevention, and repair.",Concrete incentive-based policy with named partner sectors.,refrigerant_management → fugitive_emissions_reduction,"Create incentives with businesses to improve refrigerant leak detection, prevention, and repair, reducing refrigerant leakage and associated fugitive greenhouse gas emissions.",,no,Mitigation,direct
Austin_Texas_United_States,parent_with_subs,sub,SUSTAINABLE BUILDINGS — Goal: Reduce refrigerant leakage emissions 25%,"Create an awareness, education, and training campaign for HVAC service providers and related stakeholders; lead by example with refrigerant leak detection/repair at City-owned facilities.",Reduce community-wide greenhouse gas emissions from refrigerant leakage by 25% by 2030.,standalone parent policy,"## Strategy 4: Awareness and training for HVAC service providers

Create an awareness, education, and training campaign... Lead by example by implementing a refrigerant leak detection, prevention, and repair program at City-owned facilities.",Specific campaign plus a City operational commitment (lead by example).,refrigerant_management → fugitive_emissions_reduction,"The city creates awareness and training for HVAC service providers and implements refrigerant leak detection, prevention, and repair at city-owned facilities to reduce fugitive refrigerant emissions.",,no,Mitigation,direct
