policy_id,row_key,source_bundle_key,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value,atom_id,parent_row_id,is_atomized_row,is_decomposed,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Chicago_IL_US::002fadd3776483b1e660a0ba,Chicago_IL_US::002fadd3776483b1e660a0ba,sub,"Pillar 1: Increase access to utility savings and renewable energy, prioritizing households.",Strategy 1.1 Retrofit buildings to reduce building energy use and emissions (Pillar 1).,Mitigation,,policy_traces/001_Strategy_11_Retrofit_buildings_to_reduce_building_energy_use.json,trace_initiative_policies_valid.csv,parent_statement,"Pillar 1: Increase access to utility savings and renewable energy, prioritizing households.",,,False,False,,,,,,
002,Chicago_IL_US::204e46e5d1fd0724f6477a70,Chicago_IL_US::204e46e5d1fd0724f6477a70,sub,"Pillar 1: Increase access to utility savings and renewable energy, prioritizing households.","Retrofit residential buildings with 4 or fewer units: 20% by 2030 and 50% by 2040, prioritizing low- or moderate-income households.",Mitigation,,policy_traces/002_Retrofit_residential_buildings_with_4_or_fewer_units_20_by_2.json,trace_initiative_policies_valid.csv,parent_statement,"Pillar 1: Increase access to utility savings and renewable energy, prioritizing households.",,,False,False,keep,0.86,True,,,False
003,Chicago_IL_US::8350e4c2864f150dbf753cfe,Chicago_IL_US::8350e4c2864f150dbf753cfe,sub,"Pillar 1: Increase access to utility savings and renewable energy, prioritizing households.",Retrofit 20% of total 5+ unit residential buildings by 2030.,Mitigation,,policy_traces/003_Retrofit_20_of_total_5_unit_residential_buildings_by_2030.json,trace_initiative_policies_valid.csv,parent_statement,"Pillar 1: Increase access to utility savings and renewable energy, prioritizing households.",,,False,False,keep,0.86,True,,,False
004,Chicago_IL_US::f5211cd0cb117cd17c6f241d,Chicago_IL_US::f5211cd0cb117cd17c6f241d,sub,"Pillar 1: Increase access to utility savings and renewable energy, prioritizing households.",Retrofit 20% of total industrial buildings by 2030.,Mitigation,,policy_traces/004_Retrofit_20_of_total_industrial_buildings_by_2030.json,trace_initiative_policies_valid.csv,parent_statement,"Pillar 1: Increase access to utility savings and renewable energy, prioritizing households.",,,False,False,keep,0.9,True,,,False
005,Chicago_IL_US::020d62be492e378da19f358d,Chicago_IL_US::020d62be492e378da19f358d,sub,"Pillar 1: Increase access to utility savings and renewable energy, prioritizing households.",Retrofit 90% of total city-owned and sister agency-owned buildings by 2035.,Mitigation,,policy_traces/005_Retrofit_90_of_total_city_owned_and_sister_agency_owned_buil.json,trace_initiative_policies_valid.csv,parent_statement,"Pillar 1: Increase access to utility savings and renewable energy, prioritizing households.",,,False,False,keep,0.86,True,,,False
006,Chicago_IL_US::866d27972ee1219e028f66ba,Chicago_IL_US::866d27972ee1219e028f66ba,sub,"Pillar 1: Increase access to utility savings and renewable energy, prioritizing households.",Strategy 1.2 Connect communities to renewable energy (Pillar 1).,Mitigation,,policy_traces/006_Strategy_12_Connect_communities_to_renewable_energy_Pillar_1.json,trace_initiative_policies_valid.csv,parent_statement,"Pillar 1: Increase access to utility savings and renewable energy, prioritizing households.",,,False,False,,,,,,
007,Chicago_IL_US::4b6bc613cc63433bd98b70cd,Chicago_IL_US::4b6bc613cc63433bd98b70cd,sub,"Pillar 1: Increase access to utility savings and renewable energy, prioritizing households.",Install 5 megawatts of co-owned community solar projects by 2025.,Mitigation,,policy_traces/007_Install_5_megawatts_of_co_owned_community_solar_projects_by_.json,trace_initiative_policies_valid.csv,parent_statement,"Pillar 1: Increase access to utility savings and renewable energy, prioritizing households.",,,False,False,,,,,,
008,Chicago_IL_US::992feafddc9fb0137d8b7f23,Chicago_IL_US::992feafddc9fb0137d8b7f23,sub,"Pillar 1: Increase access to utility savings and renewable energy, prioritizing households.",Increase Chicago-based community renewables to 20 megawatts by 2025.,Mitigation,,policy_traces/008_Increase_Chicago_based_community_renewables_to_20_megawatts_.json,trace_initiative_policies_valid.csv,parent_statement,"Pillar 1: Increase access to utility savings and renewable energy, prioritizing households.",,,False,False,,,,,,
009,Chicago_IL_US::5d20ec5ba29b9834e8d07305,Chicago_IL_US::5d20ec5ba29b9834e8d07305,sub,"Pillar 1: Increase access to utility savings and renewable energy, prioritizing households.",Increase community renewables subscriptions so that low-income and/or environmental-justice low-income residents account for 25% subscribed by 2030.,Mitigation,,policy_traces/009_Increase_community_renewables_subscriptions_so_that_low_inco.json,trace_initiative_policies_valid.csv,parent_statement,"Pillar 1: Increase access to utility savings and renewable energy, prioritizing households.",,,False,False,,,,,,
011,Chicago_IL_US::faeb5d2e5fc4130d254631b6,Chicago_IL_US::faeb5d2e5fc4130d254631b6,sub,Pillar 2: Build circular economies to create jobs and reduce waste.,Strategy 2.1 Reduce waste and landfilling (Pillar 2).,Mitigation,,policy_traces/011_Strategy_21_Reduce_waste_and_landfilling_Pillar_2.json,trace_initiative_policies_valid.csv,parent_statement,Pillar 2: Build circular economies to create jobs and reduce waste.,,,False,False,,,,,,
