policy_id,row_key,source_bundle_key,role,parent_statement,policy_statement,primary_category,typology_code,trace_path,validation_trace_csv,validation_lookup_column,validation_lookup_value,atom_id,parent_row_id,is_atomized_row,is_decomposed,rescue_disposition,rescue_confidence,primary_gate_rescued,primary_category_original,primary_category_rescue_corrected,dropped_by_climate_rescue
001,Perugia_Italy::cf08b4b260f1258d26679f3f,Perugia_Italy::cf08b4b260f1258d26679f3f,sub,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.","Under current legislation (trend scenario), Italy includes a minimum 2% share of electricity production from new plants using renewable sources (Law Decree 79/1999).",Mitigation,,policy_traces/001_Under_current_legislation_trend_scenario_Italy_includes_a_mi.json,trace_initiative_policies_valid.csv,parent_statement,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",,,False,False,,,,,,
002,Perugia_Italy::54f83d7b639fba7e1f3027b4,Perugia_Italy::54f83d7b639fba7e1f3027b4,sub,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.","Italy’s Prime Minister Decree of 4 August 1999 provides for ENEL to sell ~15,000 MW and mandates conversion of ~10,000 MW of existing oil-fired thermo-electric capacity to natural gas combined cycle.",Mitigation,,policy_traces/002_Italys_Prime_Minister_Decree_of_4_August_1999_provides_for_E.json,trace_initiative_policies_valid.csv,parent_statement,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",,,False,False,,,,,,
003,Perugia_Italy::a1cf270012c9e4a5e3bc1b4a,Perugia_Italy::a1cf270012c9e4a5e3bc1b4a,sub,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",Italy increases the use of coal in power plants from 9% to 14% (as part of measures already adopted under the trend scenario).,Mitigation,,policy_traces/003_Italy_increases_the_use_of_coal_in_power_plants_from_9_to_14.json,trace_initiative_policies_valid.csv,parent_statement,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",,,False,False,,,,,,
004,Perugia_Italy::942d4fe93cff3026348fc2bf,Perugia_Italy::942d4fe93cff3026348fc2bf,sub,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",Italy implements Ministry of Industry Decrees of 24 April 2001 to increase end-use energy efficiency.,Mitigation,,policy_traces/004_Italy_implements_Ministry_of_Industry_Decrees_of_24_April_20.json,trace_initiative_policies_valid.csv,parent_statement,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",,,False,False,keep,0.9,True,,,False
005,Perugia_Italy::ec970f8d2212619989f9d605,Perugia_Italy::ec970f8d2212619989f9d605,sub,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.","Italy implements Law 449/97 allowing 41% tax deductibility of building retrofitting expenses, including renewable-energy-based plants.",Mitigation,,policy_traces/005_Italy_implements_Law_44997_allowing_41_tax_deductibility_of_.json,trace_initiative_policies_valid.csv,parent_statement,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",,,False,False,,,,,,
006,Perugia_Italy::62fc4a081b93c387bfc8753a,Perugia_Italy::62fc4a081b93c387bfc8753a,sub,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.","Italy exempts 300,000 tonnes per year of biodiesel from excise duties under Article 21 of Law 388/2000.",Mitigation,,policy_traces/006_Italy_exempts_300000_tonnes_per_year_of_biodiesel_from_excis.json,trace_initiative_policies_valid.csv,parent_statement,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",,,False,False,,,,,,
007,Perugia_Italy::ddeca5b0549d3da89b2199f9,Perugia_Italy::ddeca5b0549d3da89b2199f9,sub,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.","Under the reference scenario, Italy targets increased use of renewable sources totaling 75 TWh by 2010.",Mitigation,,policy_traces/007_Under_the_reference_scenario_Italy_targets_increased_use_of_.json,trace_initiative_policies_valid.csv,parent_statement,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",,,False,False,,,,,,
008,Perugia_Italy::0bd0d3d795936545ac2a8f55,Perugia_Italy::0bd0d3d795936545ac2a8f55,sub,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.","Under the reference scenario, Italy will progressively phase out landfills and increase energy production from waste.",Mitigation,,policy_traces/008_Under_the_reference_scenario_Italy_will_progressively_phase_.json,trace_initiative_policies_valid.csv,parent_statement,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",,,False,False,,,,,,
009,Perugia_Italy::b9d90d80c1fcca61307dff77,Perugia_Italy::b9d90d80c1fcca61307dff77,sub,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.","Under the reference scenario, Italy develops new infrastructure to shift passenger and freight transport from roads to railways and coasting navigation.",Mitigation,,policy_traces/009_Under_the_reference_scenario_Italy_develops_new_infrastructu.json,trace_initiative_policies_valid.csv,parent_statement,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",,,False,False,,,,,,
010,Perugia_Italy::c78ae03c7d2951ad3f65f1dd,Perugia_Italy::c78ae03c7d2951ad3f65f1dd,sub,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.","Under the reference scenario, Italy promotes the production and use of high-efficiency vehicles and fuels.",Mitigation,,policy_traces/010_Under_the_reference_scenario_Italy_promotes_the_production_a.json,trace_initiative_policies_valid.csv,parent_statement,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",,,False,False,,,,,,
011,Perugia_Italy::e0a1e5294af9b290fd4eef9d,Perugia_Italy::e0a1e5294af9b290fd4eef9d,sub,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",Implement management of existing forests as part of agricultural and forestry measures to increase carbon sinks.,Nature-Based Solutions,,policy_traces/011_Implement_management_of_existing_forests_as_part_of_agricult.json,trace_initiative_policies_valid.csv,parent_statement,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",,,False,False,,,,,,
012,Perugia_Italy::51a95b2bef612be1d94f44f6,Perugia_Italy::51a95b2bef612be1d94f44f6,sub,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",Implement revegetation of farmlands and grazing lands to support increased carbon sinks.,Nature-Based Solutions,,policy_traces/012_Implement_revegetation_of_farmlands_and_grazing_lands_to_sup.json,trace_initiative_policies_valid.csv,parent_statement,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",,,False,False,keep,0.93,True,,,False
013,Perugia_Italy::5aa4b3b8735555c8c468c4da,Perugia_Italy::5aa4b3b8735555c8c468c4da,sub,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",Implement natural reforestation to support increased carbon sinks.,Nature-Based Solutions,,policy_traces/013_Implement_natural_reforestation_to_support_increased_carbon_.json,trace_initiative_policies_valid.csv,parent_statement,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",,,False,False,,,,,,
014,Perugia_Italy::6886cca6685d5982e98154e2,Perugia_Italy::6886cca6685d5982e98154e2,sub,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.","Implement afforestation and reforestation in existing wooded lands, new areas, and areas at hydrogeological instability risk to increase carbon sinks.",Nature-Based Solutions,,policy_traces/014_Implement_afforestation_and_reforestation_in_existing_wooded.json,trace_initiative_policies_valid.csv,parent_statement,"Italy implements programmes and initiatives in agriculture and forestry to increase and better manage forest areas/woodlands, reclaim abandoned territories, and protect areas at instability or desertification risk to increase carbon sinks.",,,False,False,,,,,,
