location,policy_commitment,source_quote,has_measurable_target,has_deadline,has_legal_mandate,has_geographic_scope,extraction_notes,is_actionable,soundness_confidence,validation_reasoning,weak_language_detected,strong_language_detected,climate_strategy_type,additional_strategy_types,causal_mechanism,policy_instruments,classification_signals,classification_confidence,co_benefits_identified,classification_notes
Chicago,Chicago will reduce citywide greenhouse gas (GHG) emissions by a minimum of 62% by 2040 (relative to the 2017 inventory).,The 2022 CAP aims to chart an equitable path to reduce Chicago's GHG emissions by a minimum of 62% by 2040.,Yes — '62% reduction by 2040' (from 2017 baseline).,Yes — by 2040.,No; stated as a CAP target (the plan notes formalization through legislation may follow).,Yes — citywide (Chicago).,"Clear, numerical citywide GHG reduction target with deadline — qualifies as a quantifiable target.",True,0.88,VALID,,,Mitigation,,Human activity → decreased GHG emissions → decreased atmospheric forcing,Citywide GHG emissions reduction target / Climate Action Plan commitment (emissions reduction target); implementation would typically include decarbonization measures (renewable energy transition; electrification; building and transport decarbonization; energy efficiency) though mechanisms are not specified in the excerpt.,"""reduce Chicago's GHG emissions by a minimum of 62% by 2040""; ""GHG emissions""; ""reduce ... emissions""; ""2022 CAP""",0.95,"Equity (noted by ""equitable path""); improved air quality and public health; economic/job opportunities from clean energy/retrofits (typical co-benefits; not specified in detail)",
Chicago,"Retrofit 20% of residential buildings with 4 or fewer units by 2030 and 50% by 2040, prioritizing low- or moderate-income households.","Retrofit residential buildings with 4 or fewer units:20% by 2030 and 50%by2040, prioritizing low- or moder- ate-income households",Yes — '20% by 2030 and 50% by 2040' for residential buildings with 4 or fewer units.,Yes — 2030 and 2040.,No; presented as a CAP action/target (implementation and enforcement to be developed).,"Yes — citywide, targeted to buildings with 4 or fewer units in Chicago.",Specific retrofit target with percentages and deadlines for a defined building class.,True,0.78,VALID,,,Resource Efficiency,Mitigation,Same service → DECREASED energy input,Residential building retrofit program (energy-efficiency upgrades: insulation; air-sealing; efficient HVAC; appliances); targeted subsidies/incentives or prioritization for low- and moderate-income households; phased compliance/timeline targets,"""Retrofit""; ""residential buildings""; ""20% by 2030 and 50% by 2040""; ""prioritizing low- or moderate-income households""",0.93,GHG emissions reductions; lower household energy bills; improved thermal comfort and health; reduced energy poverty; local job creation,
Chicago,Retrofit 20% of total 5+ unit residential buildings by 2030.,Retrofit 20% of total 5+ unit residential buildings by 2030,Yes — 'Retrofit 20% of total 5+ unit residential buildings by 2030'.,Yes — by 2030.,No; CAP action — may require programs or legislation to implement.,Yes — citywide (Chicago) and specified building type (5+ unit residential).,Numerical retrofit commitment for large multifamily buildings with a deadline.,True,0.88,VALID,,,Resource Efficiency,Mitigation,Same service (residential housing) → decreased energy input per unit of service,Building energy-efficiency retrofits (insulation/envelope upgrades; HVAC replacement/upgrade; window/door improvements; lighting and controls; weatherization; retro‑commissioning),"""Retrofit""; ""residential buildings""; ""5+ unit""; ""20% by 2030""",0.88,Emissions reduction (lower GHGs); reduced energy bills/operational costs; improved thermal comfort and indoor air quality; reduced peak power demand; potential job creation,
Chicago,Retrofit 20% of total industrial buildings by 2030.,Retrofit 20% of total industrial buildings by 2030,Yes — 'Retrofit 20% of total industrial buildings by 2030'.,Yes — by 2030.,No; CAP action target contingent on implementation measures.,"Yes — citywide (Chicago), specified sector 'industrial buildings'.",Retrofit target for industrial buildings with a clear percentage and deadline.,True,0.8,VALID,,,Resource Efficiency,Mitigation,Same service → ↓ energy/material input (improved efficiency of buildings/processes),Building/industrial energy-efficiency retrofits (insulation/envelope upgrades; HVAC and process equipment upgrades; lighting and controls); mandated retrofit target; energy audits/benchmarking; financial incentives/subsidies or regulatory compliance requirements to achieve retrofit target,"""Retrofit""; ""industrial buildings""; target (20% by 2030) — signals building energy/process upgrades and efficiency improvements",0.88,Emissions reduction (lower CO2); reduced energy bills/operating costs; improved indoor environmental quality/worker comfort; increased equipment lifespan and reduced maintenance; potential productivity gains,
Chicago,Retrofit 90% of total City-owned and sister agency-owned buildings by 2035.,Retrofit 90%oftotalCity-ownedandsisteragen - cy-owned buildings by 2035,Yes — 'Retrofit 90% of total City-owned and sister agency-owned buildings by 2035'.,Yes — by 2035.,No; the City is committing to lead by example but this is a CAP target rather than an enacted mandate.,Yes — City-owned and sister-agency-owned buildings in Chicago.,Specific target for retrofitting public (City and sister agency) buildings with a percentage and deadline.,True,0.88,VALID,,,Resource Efficiency,Mitigation,Same service → ↓ energy/material input (improved building performance leads to reduced resource use per service),Building energy-efficiency retrofits (envelope upgrades; insulation; window replacement); HVAC replacement and optimization; lighting upgrades; controls and building management system upgrades; appliance/equipment replacement and performance improvements,"""Retrofit""; ""buildings""; ""City-owned""; ""by 2035""",0.75,Emissions reduction; energy cost savings; improved occupant comfort/health; reduced maintenance costs; potential resilience improvements,
Chicago,"Install 5 megawatts of co-owned community solar projects within Chicago by 2025, prioritizing households with high energy burden.",Install 5 megawatts of co-owned community solar projects by 2025,Yes — 'Install 5 megawatts of co-owned community solar projects by 2025'.,Yes — by 2025.,No; target in CAP to be implemented via programs and partnerships.,Yes — within city limits/Chicago.,Community solar installation target with MW and deadline — quantifiable intervention.,True,0.85,VALID,,,Mitigation,,Human activity (electricity generation from fossil fuels) → ↓ renewable electricity substitution → ↓ GHG emissions → ↓ atmospheric forcing,Community solar installations (distributed photovoltaic arrays); co-ownership/subscription model for shared solar; targeted allocation/prioritization for high energy-burden households,"""community solar""; ""install 5 megawatts""; ""co-owned""; ""solar projects""; ""prioritizing households with high energy burden""",0.95,Reduced energy bills / lower household energy burden; increased energy access and ownership; local economic/job opportunities; equity in clean energy deployment,
Chicago,Increase Chicago-based community renewable energy capacity to 20 megawatts by 2025.,Increase Chicago-based community renewables to 20 megawatts by 2025,Yes — 'Increase Chicago-based community renewables to 20 megawatts by 2025'.,Yes — by 2025.,No; CAP target to be advanced via programs and partnerships.,Yes — Chicago-based projects.,Numeric city-level community renewables capacity target with deadline.,True,0.87,VALID,,,Mitigation,,Increased community renewable generation → ↓ fossil-fuel electricity generation/use → ↓ GHG emissions (reduced atmospheric forcing),Deployment/expansion of community renewable projects (e.g.; community solar arrays); targets/capacity goals for renewables; incentives/subsidies/grants for community projects; streamlined permitting and interconnection for distributed generation; community power purchase/aggregation programs,"""community renewable energy""; ""renewables""; ""20 megawatts""; ""Increase ... to 20 megawatts by 2025""",0.95,,
Chicago,Increase community renewable subscriptions to achieve 25% subscribed by low-income and/or environmental justice low-income residents by 2030.,Increase community renewables subscriptions to achieve 25%subscribed by low-income and/or environ- mental justice low-income residents by 2030,Yes — '25% subscribed by low-income and/or environmental justice low-income residents by 2030'.,Yes — by 2030.,No; CAP target focused on equitable subscription rates.,"Yes — community renewables subscriptions in Chicago, prioritized for low-income/EJ residents.",Target for subscription share among low-income/EJ residents — quantifiable social inclusion metric with deadline.,True,0.8,VALID,,,Mitigation,,Increased community renewable adoption → decreased fossil-fuel electricity generation / decreased GHG emissions → decreased atmospheric forcing,Community renewable subscription programs (e.g.; community solar/aggregated renewables); targeted enrollment/outreach to low-income and EJ residents; affordability supports or subsidized subscriptions; enrollment/participation targets,"""community renewables""; ""subscriptions""; ""renewables""; ""25% subscribed""; ""low-income""; ""environmental justice""",0.92,Emissions reduction (secondary); increased energy access/affordability for low-income households; environmental justice/equity; potential local economic/jobs benefits; possible distributed energy resilience,
Chicago,"Divert 90% of commercial, industrial, and institutional waste by 2030.","Divert 90%ofcommercial, industrial, and institutional waste by 2030","Yes — 'Divert 90% of commercial, industrial, and institutional waste by 2030'.",Yes — by 2030.,No; presented as a CAP goal that will require regulatory or programmatic measures to achieve.,"Yes — Chicago, for commercial/industrial/institutional waste streams.",High-percentage waste diversion target with deadline for commercial/industrial/institutional sector.,True,0.78,VALID,,,Resource Efficiency,Mitigation,Same service → decreased waste output (and decreased material/energy inputs per unit service),Recycling and composting mandates; source-separation requirements; landfill/organic waste bans; extended producer responsibility (EPR); mandatory waste-reduction targets for businesses/institutions; incentives/grants for reuse and circular business models; investment in recycling/composting infrastructure; reporting and monitoring requirements,"""Divert 90% of ... waste""; ""divert""; ""commercial; industrial; and institutional waste""; ""90% by 2030""; ""waste diversion""",0.93,Emissions reduction (reduced landfill methane and embodied carbon); resource conservation (materials/energy); reduced pollution; extended product lifetimes/circular economy benefits; potential job creation and cost savings,
Chicago,Divert 75% of construction and demolition waste by 2030.,Divert 75%of construction and demolition waste by 2030,Yes — 'Divert 75% of construction and demolition waste by 2030'.,Yes — by 2030.,No; CAP target that likely needs regulatory or incentive mechanisms.,Yes — City of Chicago construction and demolition waste.,Construction & demolition diversion target with percentage and deadline.,True,0.8,VALID,,,Resource Efficiency,,Same service/output → ↓ material input and ↓ waste output,C&D waste diversion target; recycling and reuse mandates for demolition materials; landfill diversion/ban policies; materials recovery and recycling infrastructure; mandatory construction waste management plans and reporting; incentives or requirements for reclaimed material use; extended producer responsibility or producer obligations for construction materials (implied mechanisms typically used to meet such a diversion target),"""Divert 75%""; ""construction and demolition waste""; ""divert""; ""by 2030"" (waste diversion target/percentage and timeframe)",0.94,Emissions reduction (through avoided primary material production and reduced landfill methane); reduced landfill use; resource conservation; lower raw-material extraction; potential job creation in recycling/reuse sectors,
